         1748559 function calls (1652450 primitive calls) in 26.401 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.001    0.000    0.016    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backends\backend_agg.py:221(get_text_width_height_descent)
    20/10    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       78    0.001    0.000    0.016    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backends\backend_agg.py:200(draw_text)
      374    0.000    0.000    0.016    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\markers.py:228(__init__)
       12    0.000    0.000    0.015    0.001 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\spines.py:142(get_window_extent)
        4    0.000    0.000    0.015    0.004 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\axis.py:2343(_update_label_position)
       72    0.002    0.000    0.015    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\ticker.py:2074(_raw_ticks)
    20/10    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
       60    0.000    0.000    0.015    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\offsetbox.py:796(get_bbox)
      374    0.001    0.000    0.014    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\markers.py:327(_set_marker)
    17/10    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:777(exec_module)
        2    0.004    0.002    0.014    0.007 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\font_manager.py:1361(_findfont_cached)
      163    0.000    0.000    0.014    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\venv\lib\site-packages\matplotlib\backends\backend_agg.py:263(_prepare_font)
   187825    0.014    0.000    0.014    0.000 C:\Users\light\Documents\ntnu\cogito\NEATactics\src\genetics\node.py:20(_validate_type)
